F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Class,
0.36726,0.50342,0.35876,0.18618,0.11507,.28136,0.75,0.63636,0.57143,0.52941,0.5,0.52174,0.5,Y,
0.3049,0.34314,0.13915,0.22959,0.08784,0.42892,.58596,0.54545,0.57143,0.52941,0.5,0.52174,0.53846,Y,
0.30351,0.36688,0.15586,0.25424,0.09392,0.4586,0.75,0.63636,0.57143,.48523,.46704,0.47826,0.5,Y,
0.22488,0.13761,0.19488,0.19183,0.10275,0.21789,0.75,0.72727,0.64286,0.58824,0.55,0.52174,0.5,Y,
0.25738,.27103,0.20952,0.20909,0.1344,0.2975,0.875,0.63636,0.64286,.48523,0.5,0.47826,0.42308,Y,
0.34097,0.16463,0.46804,0.17849,0.07805,.28136,0.75,0.63636,0.64286,.48523,0.6,0.6087,0.57692,Y,
0.36353,0.35593,.2043,0.15948,0.18983,0.32133,0.75,0.72727,0.71429,.48523,0.65,0.65217,0.65385,Y,
0.26056,.27103,0.121,0.27807,0.05729,0.38043,0.625,0.54545,0.42857,0.41176,0.4,0.3913,0.38462,Y,
.30008,0.27541,0.39887,0.15082,0.22033,0.54508,0.75,.54098,0.57143,0.52941,0.5,0.47826,0.5,Y,
0.3649,0.22495,.2043,0.1502,0.06352,0.13233,0.5,0.54545,0.5,0.52941,0.5,0.52174,0.46154,Y,
0.28499,0.24803,0.14635,0.30458,0.04409,0.20669,0.625,0.54545,0.5,0.52941,0.5,0.52174,0.5,Y,
0.21496,0.26503,0.11289,0.29804,.14264,0.09744,0.625,0.54545,.50788,0.41176,.46704,0.43478,0.42308,Y,
0.23042,0.07138,0.09353,0.21929,0.04079,0.02549,0.5,0.45455,0.42857,0.47059,0.4,0.43478,0.46154,Y,
0.31542,0.35686,.2043,0.29519,0.15373,0.18873,0.75,0.63636,.50788,0.64706,0.6,0.56522,0.57692,Y,
0.33397,0.3391,0.11693,0.33281,0.15502,0.42388,0.5,0.54545,0.42857,0.41176,0.45,0.3913,0.42308,Y,
0.24559,0.21374,0.20637,0.35115,0.17099,0.40076,.58596,0.54545,0.5,0.47059,0.5,.45177,0.5,Y,
0.12242,0.28767,0.09258,0.45828,0.15342,0.27968,0.5,0.54545,0.5,0.41176,0.35,0.34783,0.34615,Y,
0.3017,0.35806,0.21607,0.20321,0.14322,0.26854,0.625,0.54545,0.57143,0.52941,0.5,0.47826,0.46154,Y,
0.22394,0.25986,0.2509,.21702,0.10394,0.16241,0.5,0.45455,.50788,0.41176,0.4,.45177,0.42308,Y,
0.24373,0.25758,0.19018,0.22629,0.04848,0.17045,0.75,0.63636,0.64286,.48523,.46704,0.56522,0.53846,Y,
0.33658,0.38636,0.22675,0.20366,0.04848,0.26515,0.75,.54098,0.57143,0.52941,0.5,0.52174,0.5,Y,
0.35109,0.29167,0.23467,0.2904,0.26667,.28136,0.75,0.63636,0.64286,0.58824,0.55,.45177,0.57692,Y,
0.283,0.21389,0.11264,0.34848,0.20222,0.27951,0.625,0.54545,0.5,0.47059,0.5,0.47826,0.46154,Y,
0.18942,0.1712,.2043,0.15909,0.24348,0.35666,0.625,0.54545,0.5,0.47059,0.45,0.43478,0.42308,Y,
0.24748,0.05385,0.23395,.21702,0.08615,.28136,0.625,0.54545,0.57143,0.58824,0.55,0.47826,0.46154,Y,
0.35912,0.38799,0.24194,0.1835,0.0776,0.36374,0.625,0.54545,0.5,0.47059,0.5,0.43478,0.46154,Y,
0.23743,0.19803,0.19536,0.11316,.14264,0.21525,0.625,0.63636,0.57143,0.58824,0.5,0.47826,0.5,Y,
.30008,0.29439,0.20529,0.37128,0.10467,0.28621,0.5,0.54545,0.5,.48523,0.45,0.43478,0.42308,Y,
0.22817,0.13032,0.20671,0.23356,0.02979,0.3258,0.625,.54098,0.5,0.47059,0.45,0.43478,0.42308,Y,
0.19428,0.25362,0.34283,0.27273,0,0.19022,0.625,0.63636,0.57143,0.52941,0.5,0.47826,0.46154,Y,
